Vardas              Pavarde             Vid.                Med.                
Ainius              zukauskas           6.2                 6.2                 
Ainius              Vasiliauskas        6                   6                   
Ainius              Vasiliauskas        6.6                 6.6                 
Ainius              zukauskas           5.2                 5.2                 
Ainius              Baranauskas         6                   6                   
Ainius              Stankevicius        5.2                 5.2                 
Aistis              Kavaliauskas        7.2                 7.2                 
Aistis              Petrauskas          6                   6                   
Aistis              Stankevicius        6.8                 6.8                 
Aistis              Urbonas             9.6                 9.6                 
Aistis              Vasiliauskas        7.8                 7.8                 
Aistis              Jankauskas          6.4                 6.4                 
Aistis              Baranauskas         6                   6                   
Aistis              Butkus              7.4                 7.4                 
Aivaras             Sakalauskas         5                   5                   
Aivaras             Urbonas             5.4                 5.4                 
Aivaras             zukauskas           8.8                 8.8                 
Aivaras             Vasiliauskas        8.8                 8.8                 
Aivaras             Baranauskas         5.2                 5.2                 
Akimas              Jankauskas          6.6                 6.6                 
Akimas              Sakalauskas         9.6                 9.6                 
Akimas              zukauskas           5.4                 5.4                 
Akimas              Baranauskas         7.2                 7.2                 
Akimas              Sakalauskas         9.6                 9.6                 
Akimas              zukauskas           6.2                 6.2                 
Akvilinas           Sakalauskas         8.8                 8.8                 
Akvilinas           Sakalauskas         8.8                 8.8                 
Akvilinas           Baranauskas         6                   6                   
Akvilinas           zukauskas           5.8                 5.8                 
Akvilinas           Kazlaukas           5.8                 5.8                 
Akvilinas           Petrauskas          8                   8                   
Akvilinas           Urbonas             5.4                 5.4                 
Albertas            Sakalauskas         5.8                 5.8                 
Albertas            Paulauskas          5.8                 5.8                 
Albertas            Paulauskas          5.6                 5.6                 
Albertas            Baranauskas         10                  10                  
Albertas            Paulauskas          5.8                 5.8                 
Albinas             Kateiva             7.2                 7.2                 
Albinas             Kavaliauskas        5                   5                   
Albinas             Kateiva             8.8                 8.8                 
Albinas             Pocius              9.6                 9.6                 
Albinas             Kavaliauskas        6.2                 6.2                 
Albinas             Stankevicius        7.2                 7.2                 
Albinas             Urbonas             7                   7                   
Albinas             Urbonas             5                   5                   
Albinas             Kateiva             5.2                 5.2                 
Albrechtas          Urbonas             7.4                 7.4                 
Albrechtas          zukauskas           7.4                 7.4                 
Albrechtas          Jankauskas          9                   9                   
Albrechtas          Kavaliauskas        5.6                 5.6                 
Albrechtas          Urbonas             7.4                 7.4                 
Albrechtas          Kavaliauskas        8                   8                   
Albrechtas          Baranauskas         6.8                 6.8                 
Albrechtas          Butkus              8.8                 8.8                 
Aldonas             Stankevicius        5.6                 5.6                 
Aldonas             Petrauskas          7                   7                   
Aldonas             Jankauskas          9.4                 9.4                 
Aldonas             Stankevicius        9.6                 9.6                 
Aldonas             Urbonas             9                   9                   
Aldonas             Vasiliauskas        5.4                 5.4                 
Aleksandras         Butkus              6.8                 6.8                 
Aleksandras         Kateiva             8.6                 8.6                 
Aleksandras         zukauskas           5.4                 5.4                 
Aleksandras         Kavaliauskas        7.6                 7.6                 
Aleksandras         Paulauskas          8                   8                   
Aleksandras         Stankevicius        10                  10                  
Aleksandras         Vasiliauskas        8.2                 8.2                 
Aleksandras         Paulauskas          5.6                 5.6                 
Aleksas             Baranauskas         5.6                 5.6                 
Aleksas             Pocius              7.6                 7.6                 
Aleksas             Butkus              5.4                 5.4                 
Aleksas             Butkus              6                   6                   
Aleksas             Kavaliauskas        6.4                 6.4                 
Aleksas             Jankauskas          6.8                 6.8                 
Aleksas             Sakalauskas         9.6                 9.6                 
Aleksas             Kazlaukas           9.6                 9.6                 
Aleksas             Jankauskas          5                   5                   
Aleksas             Urbonas             5.2                 5.2                 
Alenas              Pocius              5.8                 5.8                 
Alenas              zukauskas           7.2                 7.2                 
Alenas              Kateiva             5.6                 5.6                 
Alenas              Jankauskas          5.8                 5.8                 
Alenas              Kazlaukas           6                   6                   
Alenas              Stankevicius        6.8                 6.8                 
Alenas              Kateiva             6.4                 6.4                 
Alenas              Jankauskas          5.8                 5.8                 
Alenas              Vasiliauskas        7.6                 7.6                 
Alenas              Vasiliauskas        7.6                 7.6                 
Alenas              Urbonas             5.4                 5.4                 
Alenas              Paulauskas          6.8                 6.8                 
Alenas              Petrauskas          5.6                 5.6                 
Alfas               Baranauskas         8.2                 8.2                 
Alfas               Butkus              6.6                 6.6                 
Alfas               Kateiva             9                   9                   
Alfas               Urbonas             8.6                 8.6                 
Alfas               zukauskas           5.2                 5.2                 
Alfas               Kavaliauskas        6.6                 6.6                 
Alfas               Paulauskas          9.2                 9.2                 
Alfas               Jankauskas          5.8                 5.8                 
Alfonsas            Pocius              7.2                 7.2                 
Alfonsas            Baranauskas         5                   5                   
Alfonsas            Kavaliauskas        5.4                 5.4                 
Alfonsas            Jankauskas          6.4                 6.4                 
Alfonsas            Sakalauskas         7.4                 7.4                 
Alfonsas            Sakalauskas         5.2                 5.2                 
Alfonsas            Petrauskas          6.4                 6.4                 
Alfredas            Kateiva             6.6                 6.6                 
Alfredas            Vasiliauskas        6.2                 6.2                 
Alfredas            Kateiva             5.4                 5.4                 
Alfredas            Kazlaukas           5.6                 5.6                 
Alfredas            Butkus              7.8                 7.8                 
Alfredas            Kazlaukas           6.2                 6.2                 
Algimantas          Vasiliauskas        6.4                 6.4                 
Algimantas          Kazlaukas           7.2                 7.2                 
Algimantas          Petrauskas          8.4                 8.4                 
Algimantas          Urbonas             6.6                 6.6                 
Algimantas          Stankevicius        6.8                 6.8                 
Algimantas          Kazlaukas           5.8                 5.8                 
Algimantas          Butkus              5.8                 5.8                 
Algimantas          Sakalauskas         7.2                 7.2                 
Algimantas          Jankauskas          9.2                 9.2                 
Algimantas          zukauskas           6.8                 6.8                 
Algimantas          Stankevicius        7.6                 7.6                 
Algirdas            Jankauskas          8.6                 8.6                 
Algirdas            Butkus              9                   9                   
Algirdas            Stankevicius        5.8                 5.8                 
Algirdas            Vasiliauskas        7                   7                   
Algirdas            Sakalauskas         8.6                 8.6                 
Algirdas            Butkus              7.2                 7.2                 
Algis               Vasiliauskas        8.4                 8.4                 
Algis               Kateiva             6.4                 6.4                 
Algis               Sakalauskas         5.6                 5.6                 
Algis               Kavaliauskas        8.8                 8.8                 
Algis               Baranauskas         5.6                 5.6                 
Algis               Kavaliauskas        7.8                 7.8                 
Algis               Stankevicius        6.6                 6.6                 
Algis               Baranauskas         8.8                 8.8                 
Algis               Butkus              6.8                 6.8                 
Algis               Jankauskas          6.4                 6.4                 
Algis               zukauskas           8                   8                   
Alius               Butkus              5.6                 5.6                 
Alius               Kateiva             8.4                 8.4                 
Alius               Butkus              6.4                 6.4                 
Alius               Kavaliauskas        6.2                 6.2                 
Alius               Kazlaukas           5.2                 5.2                 
Alius               Pocius              8.2                 8.2                 
Alius               Stankevicius        8.4                 8.4                 
Alius               Sakalauskas         5.2                 5.2                 
Almantas            Urbonas             8.6                 8.6                 
Almantas            Kazlaukas           8.6                 8.6                 
Almantas            Sakalauskas         8.8                 8.8                 
Almantas            Petrauskas          7.2                 7.2                 
Almantas            Urbonas             5.6                 5.6                 
Almantas            Sakalauskas         7.4                 7.4                 
Almis               Paulauskas          8                   8                   
Almis               Kavaliauskas        6                   6                   
Almis               Kateiva             7                   7                   
Almis               Kavaliauskas        7.6                 7.6                 
Almis               Kavaliauskas        10                  10                  
Almis               zukauskas           5.4                 5.4                 
Almis               Pocius              8.4                 8.4                 
Almis               Kateiva             7.6                 7.6                 
Almonas             Baranauskas         6.2                 6.2                 
Almonas             Baranauskas         5                   5                   
Almonas             zukauskas           9.6                 9.6                 
Almonas             Stankevicius        7.2                 7.2                 
Almonas             Kazlaukas           7                   7                   
Almonas             Petrauskas          7                   7                   
Almonas             Kazlaukas           6.8                 6.8                 
Almonas             Baranauskas         10                  10                  
Aloyzas             Petrauskas          5.2                 5.2                 
Aloyzas             Pocius              7.6                 7.6                 
Aloyzas             Butkus              7.6                 7.6                 
Aloyzas             Stankevicius        5.6                 5.6                 
Aloyzas             Petrauskas          5.2                 5.2                 
Aloyzas             Stankevicius        5                   5                   
Aloyzas             Baranauskas         7.2                 7.2                 
Aloyzas             Sakalauskas         5.2                 5.2                 
Aloyzas             zukauskas           5                   5                   
Aloyzas             Kazlaukas           6.4                 6.4                 
Alpas               zukauskas           6.2                 6.2                 
Alpas               Butkus              6.2                 6.2                 
Alpas               Baranauskas         5.4                 5.4                 
Alpas               Paulauskas          8                   8                   
Alpis               Baranauskas         7.8                 7.8                 
Alpis               Urbonas             5                   5                   
Alpis               Urbonas             9.6                 9.6                 
Alpis               Petrauskas          6                   6                   
Alpis               zukauskas           6.2                 6.2                 
Alvidas             Urbonas             7.2                 7.2                 
Alvidas             Stankevicius        9.4                 9.4                 
Alvidas             Sakalauskas         9.4                 9.4                 
Alvidas             Kavaliauskas        6.6                 6.6                 
Alvidas             Pocius              5.2                 5.2                 
Alvidas             Pocius              6                   6                   
Alvidas             Kateiva             6.4                 6.4                 
Alvydas             Kavaliauskas        7.6                 7.6                 
Alvydas             Pocius              7                   7                   
Alvydas             Urbonas             7.8                 7.8                 
Alvydas             Urbonas             7.4                 7.4                 
Alvydas             Pocius              6.8                 6.8                 
Ambraziejus         Sakalauskas         7.2                 7.2                 
Ambraziejus         Vasiliauskas        7.4                 7.4                 
Ambraziejus         Pocius              6.8                 6.8                 
Ambraziejus         Pocius              6.2                 6.2                 
Ambraziejus         Kateiva             5.8                 5.8                 
Anatolijus          Urbonas             7.2                 7.2                 
Anatolijus          Kavaliauskas        8.2                 8.2                 
Anatolijus          Baranauskas         7                   7                   
Anatolijus          Baranauskas         8.6                 8.6                 
Anatolijus          Baranauskas         6.6                 6.6                 
Anatolijus          Urbonas             7.6                 7.6                 
Anatolis            Sakalauskas         6.4                 6.4                 
Anatolis            Jankauskas          6.6                 6.6                 
Anatolis            Urbonas             7.8                 7.8                 
Anatolis            Jankauskas          5.2                 5.2                 
Anatolis            Kazlaukas           5.4                 5.4                 
Anatolis            zukauskas           5.8                 5.8                 
Anatolis            Pocius              5                   5                   
Andreas             Sakalauskas         6                   6                   
Andreas             Petrauskas          6                   6                   
Andreas             Baranauskas         5.6                 5.6                 
Andreas             Pocius              8.2                 8.2                 
Andreas             Pocius              8.8                 8.8                 
Andreas             Butkus              8.4                 8.4                 
Andreas             Petrauskas          8                   8                   
Andreas             Sakalauskas         8.4                 8.4                 
Andriejus           Kateiva             5.4                 5.4                 
Andriejus           Urbonas             6.2                 6.2                 
Andriejus           Butkus              6.2                 6.2                 
Andriejus           Urbonas             8                   8                   
Andriejus           Kateiva             5.8                 5.8                 
Andriejus           Kazlaukas           5.4                 5.4                 
Andrius             Jankauskas          8.2                 8.2                 
Andrius             Vasiliauskas        7                   7                   
Andrius             Kavaliauskas        6.4                 6.4                 
Andrius             Petrauskas          8.4                 8.4                 
Andrius             zukauskas           6.8                 6.8                 
Andrius             Kazlaukas           6.8                 6.8                 
Andrius             Kavaliauskas        5                   5                   
Andzejus            Vasiliauskas        6.2                 6.2                 
Andzejus            Paulauskas          7                   7                   
Andzejus            Vasiliauskas        6.8                 6.8                 
Andzejus            Pocius              9.4                 9.4                 
Andzejus            Vasiliauskas        6.6                 6.6                 
Andzejus            Kateiva             5.2                 5.2                 
Andzejus            Jankauskas          5.2                 5.2                 
Andzejus            Pocius              7.6                 7.6                 
Anicetas            Jankauskas          7                   7                   
Anicetas            Kateiva             7.4                 7.4                 
Anicetas            Sakalauskas         5.2                 5.2                 
Anicetas            Petrauskas          7.6                 7.6                 
Anicetas            Sakalauskas         7.4                 7.4                 
Anicetas            Urbonas             5.8                 5.8                 
Anicetas            Jankauskas          5.2                 5.2                 
Anicetas            Jankauskas          8                   8                   
Anicetas            Kateiva             5.8                 5.8                 
Anicetas            Kazlaukas           7                   7                   
Anicetas            Jankauskas          6                   6                   
Anisimas            Butkus              7.8                 7.8                 
Anisimas            Kazlaukas           5.8                 5.8                 
Anisimas            Jankauskas          6.4                 6.4                 
Anisimas            zukauskas           6.8                 6.8                 
Anisimas            zukauskas           8.2                 8.2                 
Anisimas            Kazlaukas           7.2                 7.2                 
Anisimas            Jankauskas          6.4                 6.4                 
Anisimas            Stankevicius        8.6                 8.6                 
Antanas             Kazlaukas           6.2                 6.2                 
Antanas             Urbonas             6.4                 6.4                 
Antonas             Petrauskas          9.4                 9.4                 
Antonas             Butkus              7.2                 7.2                 
Antonas             Sakalauskas         7                   7                   
Antonijus           Paulauskas          10                  10                  
Antonijus           Vasiliauskas        5.4                 5.4                 
Antonijus           Paulauskas          9                   9                   
Antonijus           Sakalauskas         8.6                 8.6                 
Antonijus           Kateiva             5.4                 5.4                 
Antonijus           Kavaliauskas        10                  10                  
Antonijus           Stankevicius        5.4                 5.4                 
Antonijus           Baranauskas         5.2                 5.2                 
Antonis             Vasiliauskas        6.8                 6.8                 
Antonis             Sakalauskas         5                   5                   
Antonis             Kazlaukas           6.4                 6.4                 
Antonis             Petrauskas          5.2                 5.2                 
Antonis             zukauskas           8.4                 8.4                 
Anupras             Kateiva             9.6                 9.6                 
Anupras             Kateiva             5.6                 5.6                 
Anupras             Sakalauskas         6.4                 6.4                 
Anupras             Petrauskas          7.4                 7.4                 
Anupras             Vasiliauskas        8.8                 8.8                 
Anupras             Kavaliauskas        5.6                 5.6                 
Anzelmas            Butkus              5.6                 5.6                 
Anzelmas            Paulauskas          6.8                 6.8                 
Anzelmas            Jankauskas          7.8                 7.8                 
Anzelmas            Petrauskas          7                   7                   
Anzelmas            Petrauskas          5.2                 5.2                 
Anzelmas            zukauskas           8.6                 8.6                 
Anzelmas            Petrauskas          5.8                 5.8                 
Apolinaras          Vasiliauskas        7.6                 7.6                 
Apolinaras          Butkus              8                   8                   
Apolinaras          Pocius              5.2                 5.2                 
Apolinaras          Baranauskas         7.6                 7.6                 
Apolinaras          zukauskas           9                   9                   
Apolonijus          Kazlaukas           8.8                 8.8                 
Apolonijus          Petrauskas          5.2                 5.2                 
Aras                Kateiva             6.8                 6.8                 
Aras                Jankauskas          7.6                 7.6                 
Aras                Vasiliauskas        9                   9                   
Aras                Kavaliauskas        6                   6                   
Aras                Butkus              5.2                 5.2                 
Aras                Sakalauskas         7.4                 7.4                 
Aras                Butkus              7.2                 7.2                 
Arijus              Vasiliauskas        6.8                 6.8                 
Arijus              Kateiva             7.2                 7.2                 
Arijus              Petrauskas          5                   5                   
Arijus              Stankevicius        8                   8                   
Arijus              Pocius              7.8                 7.8                 
Arijus              Kavaliauskas        8.2                 8.2                 
Arimantas           Petrauskas          8.2                 8.2                 
Arimantas           Petrauskas          5.4                 5.4                 
Arimantas           Kazlaukas           5.2                 5.2                 
Arimantas           Butkus              9.2                 9.2                 
Arimantas           Petrauskas          7.4                 7.4                 
Arimantas           Kavaliauskas        9.6                 9.6                 
Arimantas           Kateiva             9                   9                   
Arimantas           Urbonas             6.6                 6.6                 
Aristarchas         Jankauskas          8                   8                   
Aristarchas         Kavaliauskas        8.8                 8.8                 
Aristarchas         Petrauskas          6                   6                   
Aristarchas         Kateiva             6.2                 6.2                 
Aristarchas         Kavaliauskas        7                   7                   
Aristarchas         Jankauskas          7.6                 7.6                 
Aristarchas         Kavaliauskas        8                   8                   
Aristarchas         Vasiliauskas        5                   5                   
Aristidas           Kavaliauskas        7.2                 7.2                 
Aristidas           zukauskas           7.2                 7.2                 
Aristidas           Stankevicius        6.2                 6.2                 
Aristidas           Kazlaukas           7.2                 7.2                 
Aristidas           Kazlaukas           6.8                 6.8                 
Aristidas           Kateiva             6.8                 6.8                 
Aristidas           Kavaliauskas        7.6                 7.6                 
Aristidas           Pocius              5                   5                   
Aristidas           Urbonas             8.8                 8.8                 
Aristidas           Kateiva             7                   7                   
Aristidas           Kazlaukas           6                   6                   
Aristidas           Baranauskas         6.2                 6.2                 
Aristidas           Urbonas             5                   5                   
Aristidas           Sakalauskas         7.4                 7.4                 
Arkadijus           zukauskas           6.8                 6.8                 
Arkadijus           zukauskas           5.2                 5.2                 
Arkadijus           Vasiliauskas        5.4                 5.4                 
Arkadijus           Kateiva             5.8                 5.8                 
Arkadijus           Baranauskas         7.6                 7.6                 
Arkadijus           Baranauskas         6.8                 6.8                 
Arkadijus           Kazlaukas           6.8                 6.8                 
Arkadijus           Pocius              6                   6                   
Armantas            Stankevicius        7                   7                   
Armantas            Kavaliauskas        5.4                 5.4                 
Armantas            Pocius              6.2                 6.2                 
Armantas            Urbonas             9.4                 9.4                 
Armantas            Kavaliauskas        6.4                 6.4                 
Armantas            Kavaliauskas        5.8                 5.8                 
Arminas             Kateiva             7.6                 7.6                 
Arminas             zukauskas           7.8                 7.8                 
Arminas             Baranauskas         5.6                 5.6                 
Arminas             Paulauskas          6.6                 6.6                 
Arminas             Pocius              5                   5                   
Arminas             Baranauskas         5.8                 5.8                 
Arminas             Kavaliauskas        6                   6                   
Arminas             Kazlaukas           8.8                 8.8                 
Arnas               Jankauskas          8.6                 8.6                 
Arnas               Kazlaukas           5.2                 5.2                 
Arnas               Jankauskas          5.4                 5.4                 
Arnas               Paulauskas          6                   6                   
Arnas               Pocius              5.8                 5.8                 
Arnas               Kazlaukas           8.8                 8.8                 
Arnas               Vasiliauskas        6                   6                   
Arnas               Pocius              5.8                 5.8                 
Arnas               zukauskas           7                   7                   
Arnas               Butkus              6.4                 6.4                 
Arnoldas            Jankauskas          7.2                 7.2                 
Arnoldas            Vasiliauskas        5.4                 5.4                 
Arnoldas            Urbonas             7                   7                   
Arnoldas            Sakalauskas         9                   9                   
Arnoldas            Sakalauskas         6.4                 6.4                 
Arnoldas            Baranauskas         7                   7                   
Arnoldas            Sakalauskas         8                   8                   
Arnoldas            Sakalauskas         5.2                 5.2                 
Aronas              zukauskas           7.6                 7.6                 
Aronas              Jankauskas          7                   7                   
Aronas              Vasiliauskas        9.2                 9.2                 
Aronas              Urbonas             6.8                 6.8                 
Aronas              Kateiva             9.4                 9.4                 
Arsenas             Butkus              5                   5                   
Arsenas             Kateiva             7.2                 7.2                 
Arsenas             zukauskas           9                   9                   
Arsenas             Pocius              7                   7                   
Arsenas             Pocius              9.4                 9.4                 
Arsenas             Baranauskas         5.6                 5.6                 
Arsenas             Petrauskas          7.2                 7.2                 
Arsenas             Kateiva             5.2                 5.2                 
Arsenas             zukauskas           7.6                 7.6                 
Arsenas             Sakalauskas         5.2                 5.2                 
Arsenijus           Kazlaukas           5                   5                   
Artas               Kavaliauskas        7.4                 7.4                 
Artas               Paulauskas          6.4                 6.4                 
Artas               Kateiva             7                   7                   
Artiomas            Sakalauskas         7.8                 7.8                 
Artiomas            Kateiva             6.2                 6.2                 
Artiomas            Baranauskas         8.8                 8.8                 
Artiomas            Petrauskas          6                   6                   
Artiomas            Kazlaukas           5.4                 5.4                 
Arturas             Baranauskas         8.6                 8.6                 
Arturas             Paulauskas          6.4                 6.4                 
Arturas             zukauskas           7.2                 7.2                 
Arunas              Jankauskas          6                   6                   
Arunas              zukauskas           6.8                 6.8                 
Arunas              Paulauskas          8.4                 8.4                 
Arunas              Kavaliauskas        7.6                 7.6                 
Arunas              Butkus              7.4                 7.4                 
Arunas              Kateiva             9.2                 9.2                 
Arunas              Paulauskas          7.6                 7.6                 
Arunas              Stankevicius        5                   5                   
Arunas              Pocius              8.4                 8.4                 
Arunas              Kavaliauskas        9.2                 9.2                 
Arvaidas            Vasiliauskas        8.8                 8.8                 
Arvaidas            Baranauskas         5.8                 5.8                 
Arvaidas            Baranauskas         5.8                 5.8                 
Arvaidas            Petrauskas          8.2                 8.2                 
Arvaidas            Urbonas             8                   8                   
Arvaidas            Paulauskas          6.4                 6.4                 
Arvydas             Baranauskas         6.4                 6.4                 
Arvydas             Vasiliauskas        7.6                 7.6                 
Arvydas             Paulauskas          8.2                 8.2                 
Arvydas             Kazlaukas           5.8                 5.8                 
Arvydas             Petrauskas          6                   6                   
Arvydas             Butkus              5.2                 5.2                 
Arvydas             Baranauskas         7.6                 7.6                 
Arvydas             zukauskas           5.2                 5.2                 
Arvydas             Stankevicius        7.8                 7.8                 
Astijus             Petrauskas          7.8                 7.8                 
Astijus             Sakalauskas         7.2                 7.2                 
Astijus             Kazlaukas           8.4                 8.4                 
Astijus             Sakalauskas         6                   6                   
Astijus             Stankevicius        8.4                 8.4                 
Astijus             Kateiva             5                   5                   
Audrius             Vasiliauskas        7                   7                   
Audrius             Pocius              5                   5                   
Audrius             Pocius              5.2                 5.2                 
Audrius             Pocius              8.2                 8.2                 
Audrius             Butkus              8.2                 8.2                 
Audrius             Stankevicius        6.6                 6.6                 
Audrius             Baranauskas         5.4                 5.4                 
Audrius             Vasiliauskas        5.8                 5.8                 
