Vardas              Pavarde             ND1    Egz    
Martynas            Kateiva             8      5      
Ramunas             Sakalauskas         8      1      
Zacharijus          Kateiva             7      10     
Vasilijus           Sakalauskas         10     9      
Sakalas             Paulauskas          6      9      
Gintas              Pocius              7      4      
Kasparas            Baranauskas         4      2      
Gasparas            Urbonas             7      5      
Timotis             Baranauskas         9      4      
Moze                Sakalauskas         3      5      
Rytas               Paulauskas          10     3      
Zygmuntas           Vasiliauskas        10     4      
Charitonas          Vasiliauskas        7      8      
Virgaudas           Baranauskas         2      4      
Lionginas           Sakalauskas         2      1      
Eligijus            Kateiva             1      1      
Alenas              Paulauskas          9      2      
Virgis              Kazlaukas           5      6      
Vygandas            Paulauskas          3      1      
Steponas            zukauskas           7      8      
Rodrigas            Stankevicius        10     7      
Kamilis             Baranauskas         4      4      
Pilypas             Sakalauskas         8      7      
Juljanas            zukauskas           1      1      
Matas               Sakalauskas         6      10     
Balys               Pocius              1      5      
Silverijus          Jankauskas          9      3      
Marinas             Stankevicius        7      3      
Virgius             Pocius              1      4      
Polis               zukauskas           4      3      
Gytautas            Baranauskas         5      8      
Bogdanas            Vasiliauskas        10     3      
Ignas               Kavaliauskas        7      6      
azuolas             Sakalauskas         5      10     
Norvydas            Petrauskas          3      3      
zydrunas            zukauskas           5      10     
Liudvigas           Kavaliauskas        4      6      
Nerius              Jankauskas          10     2      
Alpas               Petrauskas          2      2      
Alpas               Kavaliauskas        7      3      
Kristoforas         Baranauskas         3      5      
Karpas              Baranauskas         2      5      
Ralfas              Vasiliauskas        9      2      
Aurelijus           Jankauskas          2      10     
Gracijonas          Baranauskas         2      7      
Kastantas           Paulauskas          5      5      
Stefanas            Petrauskas          3      6      
Zdislavas           Urbonas             4      3      
Laisvydas           Kavaliauskas        10     8      
Melchioras          Kateiva             10     3      
zybartas            Kavaliauskas        6      7      
Makaras             Kateiva             5      10     
Faustas             Stankevicius        3      6      
Voldemaras          Butkus              10     3      
Arimantas           Butkus              1      4      
Ausrys              Urbonas             2      7      
zvaigzdzius         Stankevicius        1      6      
Kestautas           Baranauskas         10     5      
Norvydas            Butkus              5      3      
Rimantas            Pocius              1      7      
Vilmantas           Kazlaukas           6      3      
Zygmuntas           Baranauskas         4      3      
Gintas              Kavaliauskas        9      3      
Rostislavas         Pocius              1      7      
Raimundas           Petrauskas          5      7      
Samsonas            Pocius              10     4      
Juvencijus          Kavaliauskas        5      10     
Dominykas           Stankevicius        3      2      
Bartas              Kazlaukas           1      3      
Ausrys              Kazlaukas           1      8      
Kovas               Jankauskas          6      6      
Janis               Urbonas             9      1      
Nomedas             Kateiva             4      3      
Platonas            Petrauskas          10     2      
Otas                Butkus              9      5      
Melanijus           Urbonas             8      5      
Tedas               zukauskas           6      3      
Vigilijus           Jankauskas          10     1      
Adas                Kateiva             6      3      
Valius              Jankauskas          3      9      
Valerijonas         zukauskas           10     10     
Charitonas          Paulauskas          2      5      
Kasparas            zukauskas           2      9      
Zigfridas           Baranauskas         4      4      
Kiprijonas          Butkus              3      4      
Raimondas           Sakalauskas         9      1      
Aristidas           Pocius              2      7      
Ambraziejus         Sakalauskas         6      8      
Aronas              Jankauskas          10     5      
Igoris              Paulauskas          9      3      
Klimas              Kateiva             4      6      
Ingvaras            Vasiliauskas        8      4      
Merunas             Paulauskas          6      1      
Dzonis              Pocius              9      5      
Nikola              Baranauskas         9      2      
Mantautas           Sakalauskas         7      5      
Vidimantas          Butkus              2      5      
Rytautas            Urbonas             9      7      
Viktorijus          Urbonas             8      6      
Simas               Sakalauskas         2      10     
Jovitas             Baranauskas         8      2      
Tautvydas           Kavaliauskas        1      5      
Saulius             Paulauskas          3      9      
Juozapatas          Urbonas             9      7      
Gordejus            Pocius              4      1      
Adamas              Kazlaukas           3      4      
Renius              Kavaliauskas        7      3      
Vadimas             Stankevicius        8      2      
Semionas            Baranauskas         3      9      
Jurijus             Urbonas             7      1      
Samuilas            Jankauskas          4      10     
Fabijus             Butkus              2      6      
Sikstas             Kazlaukas           10     3      
Brunonas            Jankauskas          8      2      
Richardas           Kavaliauskas        1      1      
Jaunius             Butkus              1      5      
Almis               Paulauskas          5      10     
Rimtas              Petrauskas          1      4      
Enrikas             Paulauskas          9      3      
Aldonas             Jankauskas          10     9      
Vaitiekus           Sakalauskas         8      9      
Saulenis            Stankevicius        4      1      
Semas               Baranauskas         10     5      
Deivis              Jankauskas          5      3      
Dionizas            Butkus              3      7      
Jolantas            Vasiliauskas        2      7      
Kristijonas         Butkus              3      9      
Remas               Butkus              3      4      
Justas              Kavaliauskas        5      10     
Alenas              Petrauskas          5      6      
Nerius              Jankauskas          5      2      
Kestautas           Vasiliauskas        4      5      
Rolfas              Pocius              5      1      
Vytenis             Vasiliauskas        8      4      
Rimantas            Butkus              6      4      
Diomidas            Sakalauskas         7      9      
Edvardas            Butkus              4      8      
Valentas            Petrauskas          7      6      
Linas               Pocius              1      9      
Augis               Kateiva             8      7      
Mantautas           zukauskas           3      2      
Zakarijus           Kazlaukas           7      1      
Telesforas          Butkus              2      10     
Semas               Urbonas             8      2      
Jemeljanas          Baranauskas         10     9      
Kazimieras          Butkus              9      9      
Nerimantas          Urbonas             3      5      
Boleslavas          Butkus              1      9      
Tomasas             Sakalauskas         1      3      
Donatas             Butkus              5      1      
Reginaldas          Petrauskas          9      9      
Vilmas              Kazlaukas           6      9      
Neivydas            Pocius              6      6      
Andreas             Kateiva             5      2      
Gailius             zukauskas           6      4      
Anicetas            Kazlaukas           7      7      
Verneris            zukauskas           3      8      
Dziugas             Butkus              5      1      
Jegoras             Sakalauskas         8      7      
Bonifacas           Vasiliauskas        1      1      
Viktas              Urbonas             6      1      
Dzeraldas           Sakalauskas         2      2      
Jakubas             Stankevicius        9      3      
Girvydas            Kazlaukas           1      3      
Maksimas            Butkus              4      3      
Napolis             Vasiliauskas        9      3      
Klaudas             Kavaliauskas        6      7      
Demjanas            Kateiva             5      3      
Vladas              zukauskas           2      8      
Albrechtas          Sakalauskas         10     1      
Anatolis            Vasiliauskas        6      1      
Juvencijus          Kateiva             5      4      
Grigorijus          Urbonas             1      4      
Dovilis             Butkus              2      8      
Liudas              Baranauskas         5      2      
Nedas               Jankauskas          10     2      
Vilenas             zukauskas           8      8      
Robinas             Paulauskas          6      10     
Justinas            Baranauskas         7      3      
Rafalas             Baranauskas         8      6      
Vitoldas            Pocius              7      6      
Uosis               Petrauskas          4      4      
Daumantas           Vasiliauskas        4      6      
Silverijus          Baranauskas         10     1      
Libertas            Paulauskas          3      5      
Laimutis            Petrauskas          5      7      
Narcizas            Baranauskas         5      6      
Marcelijus          Petrauskas          7      4      
Apolinaras          zukauskas           9      9      
Girmantas           Pocius              8      7      
Girmantas           Stankevicius        10     9      
Zinovijus           Jankauskas          10     4      
Mindaugas           Paulauskas          6      9      
Joanas              Kavaliauskas        4      9      
Vladlenas           Kavaliauskas        4      5      
Antonijus           Paulauskas          9      9      
Gracijus            zukauskas           8      3      
Judrius             Sakalauskas         2      2      
Tedas               Vasiliauskas        6      1      
Vytis               Kavaliauskas        8      3      
Ignacas             Kazlaukas           5      2      
Piotras             Kateiva             8      4      
Vykintas            Kazlaukas           3      9      
Bijunas             Baranauskas         9      5      
Denis               Kavaliauskas        1      5      
Traidenis           Butkus              9      2      
Liutauras           Kateiva             5      5      
zvaigzdzius         Jankauskas          7      10     
Martynas            Pocius              8      10     
Darius              Kazlaukas           10     5      
Radvila             Kavaliauskas        3      5      
Gedmas              Kateiva             6      3      
Valerijonas         Vasiliauskas        8      1      
Vadimas             Paulauskas          10     10     
Teofilis            Sakalauskas         7      3      
Matvejus            Baranauskas         6      4      
Hektoras            Stankevicius        7      3      
Vingaudas           Kateiva             9      4      
Virgius             zukauskas           2      4      
Severas             Jankauskas          5      10     
Livijus             Butkus              2      9      
Dziraldas           Stankevicius        7      9      
Napoleonas          Kazlaukas           8      8      
Romualdas           Vasiliauskas        6      3      
Herbertas           Urbonas             4      2      
Sergijus            Pocius              2      10     
Trofimas            Urbonas             8      9      
Dangerutis          Baranauskas         6      2      
Juozapas            Baranauskas         6      3      
Arsenas             Pocius              2      6      
Aristidas           Baranauskas         2      9      
Vitalius            Kavaliauskas        3      2      
Ivanas              Vasiliauskas        5      3      
Valentas            Vasiliauskas        9      1      
Kiprijonas          zukauskas           10     5      
Gendrius            Butkus              2      1      
Stepanas            zukauskas           4      10     
Edmundas            Butkus              2      6      
Sandras             Jankauskas          2      4      
Teisius             Kavaliauskas        4      10     
Gendrius            Petrauskas          9      7      
Eugenijus           zukauskas           7      6      
Juras               Pocius              2      10     
Samuelis            Stankevicius        9      6      
Artas               Petrauskas          1      7      
Juras               zukauskas           5      1      
Mangirdas           Baranauskas         2      1      
Judrius             Kazlaukas           8      9      
Kaributas           Kazlaukas           5      10     
Eidminas            Vasiliauskas        3      5      
Napalis             Pocius              6      10     
Tomasas             Vasiliauskas        4      5      
Gotfridas           Pocius              8      10     
Medas               Paulauskas          3      10     
Aidas               Pocius              1      6      
Bronislovas         Stankevicius        2      9      
Alvydas             Kavaliauskas        4      10     
Martinas            Butkus              3      2      
Mantas              Vasiliauskas        6      2      
Arunas              Sakalauskas         3      1      
Boleslovas          Kateiva             10     6      
Viltenis            Kateiva             5      4      
Silverijus          Baranauskas         10     6      
zeimantas           Pocius              3      2      
Saliamonas          Urbonas             4      7      
Rytis               zukauskas           5      8      
Davidas             Jankauskas          7      6      
Ksaveras            Baranauskas         2      2      
Demetrijus          Stankevicius        10     9      
Mingaudas           Urbonas             1      4      
Jomantas            Urbonas             6      7      
Sergijus            Baranauskas         4      3      
Milvydas            Kazlaukas           9      6      
Leandras            Kateiva             10     9      
Izoldas             Urbonas             1      1      
Gintis              Sakalauskas         5      3      
Martynas            Sakalauskas         1      9      
Juvencijus          Vasiliauskas        8      3      
Rimtis              Kazlaukas           7      9      
Orintas             Butkus              6      4      
Fabijus             Urbonas             7      9      
Arimantas           Petrauskas          1      2      
Renaldas            Paulauskas          1      2      
Donatas             Sakalauskas         2      7      
Valdimantas         Baranauskas         8      2      
Mikas               Baranauskas         9      3      
Rimtautas           Kavaliauskas        7      1      
zybartas            Paulauskas          6      2      
Vykintas            Stankevicius        10     10     
Kazys               Urbonas             1      2      
Aloyzas             Stankevicius        3      6      
Izidorius           Urbonas             4      8      
Zakarijus           zukauskas           10     4      
Klimas              Stankevicius        6      1      
Liucijonas          zukauskas           3      10     
zygimantas          zukauskas           2      4      
Ignacas             Sakalauskas         3      9      
Deividas            Pocius              3      10     
Nerijus             Baranauskas         10     2      
Tomasas             Vasiliauskas        8      5      
Alfas               Baranauskas         7      9      
Alvidas             Pocius              6      6      
Gerimantas          Kavaliauskas        4      6      
Abraomas            Urbonas             1      5      
Valerijus           Butkus              5      3      
Kiprijonas          zukauskas           8      5      
Timotiejus          Stankevicius        10     1      
Reinhardas          Paulauskas          4      7      
Melanijus           Paulauskas          1      7      
Rimgaudas           Urbonas             4      7      
Arminas             Baranauskas         5      6      
Ciprijonas          Vasiliauskas        9      7      
Lukas               Stankevicius        1      4      
Gedmas              Pocius              10     7      
Timas               Kateiva             10     8      
Leopoldas           Sakalauskas         9      8      
Arvaidas            Sakalauskas         2      5      
Mantas              Baranauskas         10     1      
Rafalas             Paulauskas          3      9      
Kipras              Vasiliauskas        1      7      
Gailius             Kavaliauskas        2      9      
Aurelijus           Kavaliauskas        9      9      
Libertas            Paulauskas          6      5      
Edmundas            Baranauskas         8      6      
Haris               Sakalauskas         3      3      
Tautrimas           Stankevicius        10     4      
Domas               Vasiliauskas        8      1      
Achilas             Urbonas             6      8      
Adolis              Butkus              7      10     
Erikas              Urbonas             8      3      
Francisekas         Stankevicius        8      4      
Gedmas              Vasiliauskas        6      10     
Pranas              Kavaliauskas        4      1      
Almis               Pocius              6      10     
Banguolis           Kavaliauskas        8      1      
Neimantas           zukauskas           9      6      
Vidimantas          Baranauskas         8      2      
Arsenijus           Baranauskas         2      3      
Vydmantas           Pocius              6      4      
Rytautas            Butkus              8      9      
Platonas            Pocius              10     7      
Gasparas            Kazlaukas           9      6      
Hilarijus           Kazlaukas           4      7      
Vyturys             Kateiva             1      3      
Aras                Stankevicius        10     1      
Irvydas             zukauskas           5      8      
Imantas             Baranauskas         5      5      
Edmundas            Vasiliauskas        10     3      
Davidas             Pocius              1      6      
Vakaris             Petrauskas          2      3      
Dzeraldas           Jankauskas          4      5      
Makarijus           Stankevicius        10     6      
Vladislavas         Kazlaukas           5      1      
Ipolitas            Jankauskas          5      2      
Napolis             zukauskas           7      8      
Osmundas            Butkus              7      10     
Zdislavas           Petrauskas          7      5      
Mantrimas           Sakalauskas         1      6      
Jevgenijus          Petrauskas          2      9      
Einius              Petrauskas          6      6      
Krescencijus        Paulauskas          4      10     
Aleksas             Baranauskas         5      6      
Imantas             Jankauskas          2      3      
Klevas              Butkus              2      9      
Sidoras             Petrauskas          5      2      
Eimis               Sakalauskas         4      9      
Olegas              zukauskas           3      6      
Margiris            Kavaliauskas        3      7      
Krescencijus        zukauskas           3      3      
Girenas             Petrauskas          2      1      
Imantas             Baranauskas         3      5      
Ignacas             Paulauskas          3      1      
Ksaveras            Jankauskas          7      8      
Nojus               zukauskas           10     6      
Zbignevas           Paulauskas          4      4      
zydrunas            Kateiva             5      5      
Osmundas            Urbonas             2      5      
Rimgaudas           Urbonas             6      6      
Vykintas            Pocius              10     7      
Grigas              zukauskas           6      10     
Denisas             zukauskas           4      7      
zygis               Sakalauskas         8      5      
Almonas             Stankevicius        9      6      
Rafalas             Pocius              6      9      
Rufas               Vasiliauskas        10     7      
Brunonas            Kateiva             6      4      
Eldaras             Kazlaukas           9      2      
Ruslanas            Kateiva             4      4      
Rapolas             Urbonas             8      2      
Mefodijus           Sakalauskas         4      1      
Rikardas            Kateiva             1      2      
Rokas               Urbonas             8      9      
Gaudvydas           zukauskas           1      10     
Zakarijus           Stankevicius        9      8      
Orintas             Urbonas             2      5      
Jonas               Jankauskas          7      3      
Valys               Kavaliauskas        3      4      
Adas                Kateiva             1      9      
Sabinas             zukauskas           5      3      
Martinas            Petrauskas          6      5      
Mecislavas          zukauskas           10     8      
Rupertas            zukauskas           8      6      
Gitanas             Pocius              3      9      
Rufas               Urbonas             5      1      
Berzas              Paulauskas          2      2      
Edvinas             Baranauskas         5      8      
Teodoras            Baranauskas         8      3      
Marcelinas          Vasiliauskas        8      8      
Stasius             Urbonas             5      4      
Mantvydas           Vasiliauskas        3      10     
Edmundas            zukauskas           5      2      
Sergijus            Kazlaukas           4      10     
Marcelijus          Kavaliauskas        5      7      
Almis               Kavaliauskas        10     10     
Gedminas            zukauskas           1      7      
Arsenas             Baranauskas         5      6      
Uosis               Stankevicius        6      9      
Rimtis              Sakalauskas         5      7      
Berzas              Kavaliauskas        2      2      
Rimtas              Jankauskas          6      8      
Saliamonas          Petrauskas          5      3      
Horacijus           Butkus              7      9      
Rufinas             Baranauskas         10     10     
Laurentijus         Baranauskas         3      8      
Herbertas           Stankevicius        8      2      
Sebastijonas        zukauskas           6      5      
Marijus             Kavaliauskas        4      2      
Vitalijus           Kateiva             10     10     
Almonas             Paulauskas          4      3      
Denisas             Butkus              2      3      
Utenis              Kateiva             1      5      
Davidas             Sakalauskas         3      8      
Audronius           Vasiliauskas        1      7      
Skirgaila           Butkus              10     7      
Geraldas            Stankevicius        9      5      
Gaudrimas           Kazlaukas           4      9      
ukas                Jankauskas          10     1      
Emilis              Stankevicius        2      5      
Dovilis             zukauskas           7      7      
Matas               Kateiva             3      5      
Vismantas           Pocius              8      10     
Florijonas          Baranauskas         8      2      
Nikolajus           Pocius              8      1      
Miglius             Butkus              4      6      
Dovydas             Kateiva             10     4      
Mintaras            Kazlaukas           5      3      
Arvydas             Butkus              10     2      
Silvijus            Pocius              3      5      
Manfredas           Petrauskas          2      2      
Nazarijus           zukauskas           1      9      
Grigalius           Paulauskas          4      4      
Edmundas            Pocius              7      10     
Narimantas          Kavaliauskas        7      1      
Cecilijus           Kateiva             4      5      
Izidorius           Kateiva             8      8      
Haraldas            Petrauskas          7      7      
Gabrielius          Kateiva             6      8      
Arnas               Butkus              10     4      
Giedrius            Butkus              4      7      
Gedvydas            Petrauskas          2      8      
Jezis               Kavaliauskas        9      8      
Alius               Stankevicius        1      6      
Vingaudas           Urbonas             1      3      
Indrius             Kavaliauskas        5      9      
Jonaras             zukauskas           9      1      
Venantas            Urbonas             10     8      
Skaidrius           Urbonas             6      3      
Lionginas           Urbonas             5      2      
Ugnius              Petrauskas          8      5      
Skalmantas          Jankauskas          4      5      
Vytis               Butkus              3      4      
Steponas            Pocius              4      4      
Stepas              Petrauskas          2      5      
Danius              Kazlaukas           6      4      
Juozapas            Kazlaukas           8      8      
Grigorijus          Kazlaukas           6      6      
Genrichas           Stankevicius        9      7      
Livijus             Stankevicius        2      1      
Judrius             Stankevicius        6      7      
Hilarijus           Jankauskas          1      7      
Agatas              Paulauskas          9      3      
Jonaras             Kateiva             5      3      
Davidas             Baranauskas         5      9      
Aloyzas             Petrauskas          4      6      
Danius              zukauskas           4      6      
Liucijonas          Kazlaukas           10     3      
Bijunas             Butkus              9      9      
Arnoldas            Sakalauskas         10     2      
zvaigzdzius         Kazlaukas           9      9      
Jogaila             zukauskas           6      4      
Juras               Kateiva             6      1      
Drasius             Kavaliauskas        10     8      
Fedoras             Vasiliauskas        3      6      
Vaizgantas          Petrauskas          7      1      
Genrichas           Kateiva             5      9      
Emilijus            Butkus              9      9      
Maksas              Vasiliauskas        3      7      
Isakas              zukauskas           1      1      
Gordejus            Sakalauskas         9      5      
Sergijus            Petrauskas          1      6      
Liutauras           Baranauskas         4      7      
Vygantas            Petrauskas          3      1      
Hermanas            Kazlaukas           5      3      
Jotautas            Petrauskas          10     3      
Osvaldas            Stankevicius        5      4      
Alfredas            Kateiva             3      9      
Maksimilijonas      Petrauskas          1      9      
Evaldas             Pocius              5      9      
Remigijus           Butkus              6      10     
Albrechtas          Urbonas             5      9      
siaurys             Sakalauskas         6      8      
Achilas             Sakalauskas         9      9      
Hilarijus           Kazlaukas           10     8      
Vykintas            Sakalauskas         9      2      
Augustinas          Baranauskas         8      1      
Simeonas            Petrauskas          7      3      
Adolis              Paulauskas          4      7      
Ksistofas           Jankauskas          5      9      
Rutenis             Kavaliauskas        7      6      
Georgijus           Kateiva             3      10     
Romas               Kavaliauskas        9      6      
Audrius             Kavaliauskas        6      4      
Rimgaudas           Vasiliauskas        5      1      
Achilas             Kateiva             8      3      
Georgijus           Stankevicius        4      1      
Sidoras             Kavaliauskas        7      5      
Jorunas             Stankevicius        8      4      
zygintas            Kazlaukas           8      8      
Vygirdas            Jankauskas          10     10     
Genadijus           Butkus              5      5      
Artas               Vasiliauskas        9      1      
Orestas             zukauskas           7      6      
Alpis               Petrauskas          6      1      
Akvilinas           Urbonas             9      3      
Adolfas             Kavaliauskas        10     1      
Vaigaudas           Kazlaukas           10     7      
Rimtis              Butkus              7      6      
Nojus               Pocius              2      3      
Rupertas            Baranauskas         9      9      
Ausrys              Stankevicius        10     2      
Jevgenijus          Pocius              4      9      
Platonas            Butkus              6      2      
Tonis               Petrauskas          10     10     
Stefanas            Vasiliauskas        1      4      
Medardas            Kazlaukas           10     2      
Aras                Kateiva             4      3      
Gordejus            Kateiva             10     4      
Rupertas            Kazlaukas           10     9      
Saulenis            Kateiva             6      3      
Vytis               Kazlaukas           5      10     
Modestas            Urbonas             1      6      
Brunas              Petrauskas          5      5      
Anicetas            Jankauskas          8      8      
Vydimantas          Vasiliauskas        4      1      
Viaceslavas         Kateiva             3      1      
Oskaras             Baranauskas         6      9      
Felicijus           Jankauskas          8      9      
Ricardas            Kavaliauskas        3      3      
Viktorijus          Butkus              9      10     
Almonas             Baranauskas         2      7      
Jorunas             Kavaliauskas        10     8      
Germantas           Stankevicius        10     2      
Medardas            Vasiliauskas        6      6      
Anatolis            zukauskas           1      9      
Platonas            Kateiva             4      9      
Vytenis             Kazlaukas           9      7      
Neimantas           Petrauskas          6      3      
Leonas              Kazlaukas           1      3      
Milvydas            Sakalauskas         8      3      
Vykintas            Stankevicius        4      2      
Martas              Butkus              1      8      
Ilja                Baranauskas         10     8      
Jurijus             Vasiliauskas        2      5      
Almonas             Vasiliauskas        3      3      
Rafaelis            Vasiliauskas        8      5      
Filipas             Stankevicius        6      8      
Pranas              Paulauskas          2      4      
Normantas           Stankevicius        10     9      
Ramunas             Urbonas             4      2      
Apolonijus          Sakalauskas         7      1      
Rimtis              Kazlaukas           5      1      
Hektoras            Butkus              7      5      
Giedrius            Stankevicius        10     9      
Aloyzas             Kazlaukas           10     4      
Hubertas            Kateiva             2      5      
Lavrentijus         Stankevicius        3      3      
Dionizas            Baranauskas         9      3      
Kalikstas           Kazlaukas           7      6      
Herkus              Kazlaukas           7      6      
Jorunas             Butkus              8      8      
Liutauras           Kazlaukas           9      9      
Richardas           Kateiva             6      1      
Juozapatas          Stankevicius        6      7      
Romanas             Kazlaukas           3      2      
Ferdinandas         Pocius              2      10     
Gerimantas          Paulauskas          4      7      
Rimantas            Kazlaukas           7      4      
Gustis              Baranauskas         1      5      
Leopoldas           Urbonas             8      1      
Jankelis            Urbonas             6      4      
Valentinas          Jankauskas          4      6      
Giedrius            Sakalauskas         2      9      
Michalas            Petrauskas          3      2      
Juras               Kavaliauskas        1      6      
Martynas            Urbonas             7      1      
Benas               Stankevicius        8      6      
Kazimieras          Vasiliauskas        1      1      
Medardas            Baranauskas         8      4      
Genrichas           Paulauskas          2      1      
Horstas             Pocius              9      2      
Audrius             Vasiliauskas        7      5      
Borisas             Paulauskas          8      3      
Danielius           Petrauskas          6      2      
Rufinas             Pocius              4      7      
Jaunius             Sakalauskas         1      9      
Voicechas           Vasiliauskas        10     8      
Sigis               Urbonas             10     7      
Valdimantas         Butkus              6      4      
Ervinas             Petrauskas          3      1      
Verneris            Vasiliauskas        10     6      
Klemensas           Urbonas             3      7      
Edvinas             Pocius              8      5      
Polikarpas          Sakalauskas         7      5      
Virgius             Stankevicius        10     5      
Ulrikas             Baranauskas         8      1      
Vacius              Vasiliauskas        2      3      
Gaudenis            Urbonas             4      9      
Tamosius            zukauskas           2      5      
Laisvydas           Jankauskas          7      5      
Marcelinas          Kazlaukas           3      8      
Herkus              Vasiliauskas        1      10     
Abraomas            Baranauskas         1      9      
Zinovijus           Sakalauskas         5      3      
Eidimantas          Kazlaukas           3      9      
Dziugas             Vasiliauskas        5      8      
Domas               Stankevicius        7      1      
Vytaras             Kazlaukas           8      5      
Henris              Petrauskas          8      2      
Livijus             Kazlaukas           8      6      
Skalmantas          Vasiliauskas        10     8      
Mangirdas           Stankevicius        9      10     
Girmantas           Urbonas             8      5      
Neimantas           Urbonas             6      1      
Janusas             Paulauskas          6      2      
Gytautas            Paulauskas          8      10     
Lauris              Urbonas             8      4      
Vydimantas          Kateiva             6      6      
Bernardas           Kavaliauskas        3      3      
Bronislavas         zukauskas           2      3      
Zygfridas           Sakalauskas         5      7      
Drasius             Urbonas             10     7      
Vitalius            Butkus              7      10     
Tadeusas            Sakalauskas         5      6      
Nazarijus           Stankevicius        6      5      
Valdimantas         Jankauskas          1      1      
Nerijus             Urbonas             4      4      
Vygandas            Petrauskas          10     10     
Vitalius            Petrauskas          9      3      
Galmantas           Kazlaukas           3      6      
Nazarijus           Jankauskas          3      10     
Zenonas             Kavaliauskas        1      7      
Gytis               Vasiliauskas        8      8      
Povilas             Butkus              9      3      
Vladlenas           Petrauskas          5      5      
Medardas            Urbonas             4      5      
Dzeraldas           Butkus              5      5      
Aristarchas         Jankauskas          5      2      
Eimis               Jankauskas          4      7      
Haraldas            Stankevicius        4      6      
Tamosius            Vasiliauskas        4      7      
Vytaras             Butkus              10     4      
Cezaris             Kazlaukas           3      1      
Geivydas            Baranauskas         4      9      
Audronius           Jankauskas          9      8      
Timotis             Baranauskas         5      4      
Rainoldas           Jankauskas          4      10     
Vaigaudas           Sakalauskas         6      4      
Hektoras            zukauskas           3      7      
Laurentijus         Stankevicius        4      8      
Dionizas            Kavaliauskas        3      9      
Kajetonas           Paulauskas          7      4      
Nerimantas          Kateiva             9      4      
Milanas             Stankevicius        4      3      
Vaitiekus           Paulauskas          10     2      
Eugeniusas          Jankauskas          6      2      
Klaudijus           Kazlaukas           5      8      
Enrikas             Sakalauskas         2      6      
Patricijus          Baranauskas         4      10     
Gedmas              Butkus              9      8      
Emilijonas          Pocius              6      6      
Dovilis             Urbonas             3      10     
Dovilis             Petrauskas          6      8      
Josifas             Kazlaukas           6      10     
Gerardas            Stankevicius        3      3      
Voicechas           Vasiliauskas        10     5      
Stasius             Kazlaukas           10     1      
Alfonsas            Sakalauskas         4      6      
Nikodemas           Petrauskas          4      2      
Helmutas            Stankevicius        4      5      
Adomas              Paulauskas          10     7      
Marijonas           zukauskas           5      4      
Gediminas           Vasiliauskas        2      2      
Napoleonas          Kazlaukas           10     4      
