Vardas              Pavarde             Vid.                Med.                
Agatas              Kavaliauskas        3.2                 3.2                 
Agatas              Petrauskas          4                   4                   
Agnius              Kateiva             1.6                 1.6                 
Agnius              zukauskas           3                   3                   
Agnius              Kazlaukas           4.6                 4.6                 
Agnius              Pocius              2.8                 2.8                 
Agnius              Kavaliauskas        3.8                 3.8                 
Aidas               Baranauskas         4.2                 4.2                 
Aidas               Butkus              3                   3                   
Aidas               Stankevicius        1.6                 1.6                 
Aidas               Pocius              4                   4                   
Aidas               Stankevicius        4.4                 4.4                 
Ainius              Pocius              4.6                 4.6                 
Ainius              Baranauskas         2.2                 2.2                 
Ainius              Urbonas             4.2                 4.2                 
Ainius              zukauskas           3.8                 3.8                 
Ainius              zukauskas           4.4                 4.4                 
Ainius              Kateiva             3                   3                   
Ainius              Butkus              4.2                 4.2                 
Aistis              zukauskas           4.4                 4.4                 
Aistis              Kavaliauskas        2.6                 2.6                 
Aistis              Stankevicius        4                   4                   
Aistis              Paulauskas          4.8                 4.8                 
Aistis              Kavaliauskas        3.6                 3.6                 
Aivaras             zukauskas           2.2                 2.2                 
Aivaras             Baranauskas         3.4                 3.4                 
Aivaras             Pocius              1.4                 1.4                 
Aivaras             Paulauskas          4.4                 4.4                 
Aivaras             Urbonas             3.4                 3.4                 
Aivaras             Vasiliauskas        3.4                 3.4                 
Akimas              Kavaliauskas        3.8                 3.8                 
Akimas              Vasiliauskas        2.6                 2.6                 
Akimas              Kazlaukas           2.6                 2.6                 
Akimas              Urbonas             3.8                 3.8                 
Akvilinas           Paulauskas          3.4                 3.4                 
Akvilinas           Baranauskas         3.2                 3.2                 
Akvilinas           Kavaliauskas        4.2                 4.2                 
Akvilinas           Kateiva             1.4                 1.4                 
Akvilinas           Pocius              2                   2                   
Akvilinas           Kazlaukas           2.8                 2.8                 
Albertas            Kazlaukas           2.2                 2.2                 
Albertas            Jankauskas          4.8                 4.8                 
Albertas            Paulauskas          4.4                 4.4                 
Albertas            Vasiliauskas        3.8                 3.8                 
Albertas            Kazlaukas           4.8                 4.8                 
Albertas            Kateiva             3.2                 3.2                 
Albertas            Stankevicius        1.8                 1.8                 
Albertas            Urbonas             2.2                 2.2                 
Albinas             Paulauskas          4.6                 4.6                 
Albinas             Kazlaukas           4.6                 4.6                 
Albinas             Pocius              3                   3                   
Albinas             Vasiliauskas        1.6                 1.6                 
Albinas             Butkus              3.8                 3.8                 
Albinas             Kavaliauskas        3                   3                   
Albinas             Butkus              2.8                 2.8                 
Albrechtas          Paulauskas          1.8                 1.8                 
Albrechtas          Baranauskas         2.6                 2.6                 
Albrechtas          Paulauskas          2.6                 2.6                 
Albrechtas          Urbonas             2.8                 2.8                 
Albrechtas          Vasiliauskas        3.2                 3.2                 
Albrechtas          Sakalauskas         4.6                 4.6                 
Albrechtas          Baranauskas         4.2                 4.2                 
Albrechtas          Kateiva             4.2                 4.2                 
Aldonas             Pocius              3.8                 3.8                 
Aleksandras         Stankevicius        4.2                 4.2                 
Aleksandras         Kazlaukas           2.8                 2.8                 
Aleksandras         Stankevicius        1.8                 1.8                 
Aleksandras         Pocius              1.4                 1.4                 
Aleksas             Baranauskas         3.6                 3.6                 
Aleksas             Kavaliauskas        4.8                 4.8                 
Aleksas             Jankauskas          2.6                 2.6                 
Aleksas             zukauskas           3.4                 3.4                 
Alenas              Paulauskas          4.8                 4.8                 
Alenas              Vasiliauskas        4.4                 4.4                 
Alenas              Paulauskas          3.8                 3.8                 
Alenas              Butkus              4.8                 4.8                 
Alenas              Sakalauskas         4.8                 4.8                 
Alenas              Stankevicius        3.4                 3.4                 
Alenas              Vasiliauskas        2.4                 2.4                 
Alenas              Kateiva             3.8                 3.8                 
Alenas              Vasiliauskas        4                   4                   
Alfas               Urbonas             2                   2                   
Alfas               Stankevicius        4.2                 4.2                 
Alfonsas            Butkus              1                   1                   
Alfonsas            Sakalauskas         1.4                 1.4                 
Alfonsas            zukauskas           3.6                 3.6                 
Alfredas            Paulauskas          2.6                 2.6                 
Alfredas            Kavaliauskas        4.4                 4.4                 
Alfredas            Urbonas             4.6                 4.6                 
Alfredas            Urbonas             4.6                 4.6                 
Alfredas            Butkus              2.6                 2.6                 
Alfredas            Stankevicius        4.4                 4.4                 
Algimantas          Vasiliauskas        4.2                 4.2                 
Algirdas            Sakalauskas         4.6                 4.6                 
Algis               Vasiliauskas        2                   2                   
Algis               zukauskas           1.4                 1.4                 
Algis               Pocius              3.6                 3.6                 
Algis               Pocius              1                   1                   
Alius               Stankevicius        2.8                 2.8                 
Alius               Butkus              1.6                 1.6                 
Alius               Vasiliauskas        4.4                 4.4                 
Alius               Kateiva             3                   3                   
Alius               Sakalauskas         2.8                 2.8                 
Alius               Stankevicius        4                   4                   
Alius               Petrauskas          3                   3                   
Almantas            Vasiliauskas        4.6                 4.6                 
Almantas            Paulauskas          4.2                 4.2                 
Almantas            Butkus              4.6                 4.6                 
Almis               Baranauskas         3.8                 3.8                 
Almis               Kateiva             1.6                 1.6                 
Almis               Baranauskas         4.8                 4.8                 
Almis               Baranauskas         2                   2                   
Almonas             Vasiliauskas        3                   3                   
Almonas             Paulauskas          3.4                 3.4                 
Almonas             zukauskas           3.4                 3.4                 
Almonas             Kateiva             1.8                 1.8                 
Aloyzas             Stankevicius        4.8                 4.8                 
Aloyzas             Sakalauskas         3.6                 3.6                 
Aloyzas             Kavaliauskas        4.4                 4.4                 
Aloyzas             zukauskas           4                   4                   
Alpas               Kazlaukas           2.6                 2.6                 
Alpas               Petrauskas          3.6                 3.6                 
Alpas               Baranauskas         4.6                 4.6                 
Alpas               Vasiliauskas        4.4                 4.4                 
Alpas               Kavaliauskas        4.6                 4.6                 
Alpas               Petrauskas          2                   2                   
Alpas               zukauskas           3.4                 3.4                 
Alpas               Vasiliauskas        3.6                 3.6                 
Alpas               Sakalauskas         2                   2                   
Alpis               Kavaliauskas        1.4                 1.4                 
Alpis               Vasiliauskas        4.8                 4.8                 
Alpis               Petrauskas          3                   3                   
Alpis               Sakalauskas         4                   4                   
Alpis               Butkus              2.6                 2.6                 
Alvidas             Paulauskas          1.6                 1.6                 
Alvidas             Kateiva             3.2                 3.2                 
Alvidas             Kazlaukas           2.6                 2.6                 
Alvydas             Kateiva             3.8                 3.8                 
Alvydas             Kateiva             2.6                 2.6                 
Alvydas             Jankauskas          1.8                 1.8                 
Alvydas             Petrauskas          4.6                 4.6                 
Alvydas             Pocius              3                   3                   
Alvydas             Urbonas             2.4                 2.4                 
Ambraziejus         Kateiva             3.8                 3.8                 
Ambraziejus         Butkus              3                   3                   
Ambraziejus         Baranauskas         4                   4                   
Ambraziejus         Kavaliauskas        3                   3                   
Ambraziejus         zukauskas           2.4                 2.4                 
Ambraziejus         Kavaliauskas        3.4                 3.4                 
Ambraziejus         zukauskas           4.6                 4.6                 
Ambraziejus         Kazlaukas           4                   4                   
Anatolijus          Petrauskas          4.2                 4.2                 
Anatolijus          Kazlaukas           2                   2                   
Anatolis            Vasiliauskas        3                   3                   
Anatolis            Urbonas             3                   3                   
Anatolis            Kateiva             1.8                 1.8                 
Andreas             Baranauskas         3.2                 3.2                 
Andreas             Stankevicius        2.6                 2.6                 
Andreas             Kateiva             3.2                 3.2                 
Andreas             Petrauskas          4.2                 4.2                 
Andreas             Baranauskas         4                   4                   
Andreas             Sakalauskas         2.8                 2.8                 
Andriejus           zukauskas           3.2                 3.2                 
Andriejus           Kateiva             3.4                 3.4                 
Andriejus           Petrauskas          4.8                 4.8                 
Andrius             Kazlaukas           2                   2                   
Andrius             Butkus              2.2                 2.2                 
Andrius             Kavaliauskas        3.2                 3.2                 
Andrius             Jankauskas          4.6                 4.6                 
Andrius             Kavaliauskas        4.2                 4.2                 
Andrius             Petrauskas          2                   2                   
Andrius             Paulauskas          4                   4                   
Andzejus            zukauskas           1.6                 1.6                 
Andzejus            zukauskas           4.6                 4.6                 
Andzejus            zukauskas           1                   1                   
Andzejus            Jankauskas          4.4                 4.4                 
Andzejus            zukauskas           3.6                 3.6                 
Andzejus            Sakalauskas         4.6                 4.6                 
Anicetas            Petrauskas          3                   3                   
Anicetas            Petrauskas          4.8                 4.8                 
Anicetas            Baranauskas         4.6                 4.6                 
Anicetas            Stankevicius        4.4                 4.4                 
Anicetas            Vasiliauskas        3.6                 3.6                 
Anisimas            Baranauskas         2.8                 2.8                 
Anisimas            Sakalauskas         4.6                 4.6                 
Anisimas            Pocius              2.2                 2.2                 
Antanas             zukauskas           4.6                 4.6                 
Antanas             Butkus              1                   1                   
Antanas             Pocius              4.6                 4.6                 
Antanas             Kavaliauskas        3.4                 3.4                 
Antanas             zukauskas           3.2                 3.2                 
Antonas             Stankevicius        4.8                 4.8                 
Antonas             Urbonas             3                   3                   
Antonas             Kateiva             3.2                 3.2                 
Antonas             Sakalauskas         1                   1                   
Antonas             Urbonas             3                   3                   
Antonijus           zukauskas           4                   4                   
Antonijus           Sakalauskas         3.4                 3.4                 
Antonijus           Urbonas             4.2                 4.2                 
Antonijus           zukauskas           2.2                 2.2                 
Antonis             Baranauskas         4.6                 4.6                 
Antonis             Kazlaukas           2.4                 2.4                 
Antonis             Pocius              2.8                 2.8                 
Anupras             Kazlaukas           2.6                 2.6                 
Anupras             Paulauskas          2.2                 2.2                 
Anupras             Kavaliauskas        4.6                 4.6                 
Anupras             Kazlaukas           1.8                 1.8                 
Anupras             zukauskas           1.8                 1.8                 
Anupras             Butkus              3.4                 3.4                 
Anupras             Baranauskas         2.2                 2.2                 
Anzelmas            Stankevicius        4.8                 4.8                 
Anzelmas            Sakalauskas         3.6                 3.6                 
Anzelmas            Butkus              4.6                 4.6                 
Apolinaras          Kazlaukas           3.8                 3.8                 
Apolinaras          Jankauskas          4.2                 4.2                 
Apolinaras          Kavaliauskas        3.8                 3.8                 
Apolinaras          Stankevicius        4.4                 4.4                 
Apolonijus          Kavaliauskas        4.2                 4.2                 
Apolonijus          Sakalauskas         3.4                 3.4                 
Apolonijus          Stankevicius        3.4                 3.4                 
Apolonijus          Baranauskas         1.8                 1.8                 
Aras                Baranauskas         3                   3                   
Aras                Petrauskas          3.4                 3.4                 
Aras                Stankevicius        4.6                 4.6                 
Aras                Paulauskas          4.8                 4.8                 
Aras                Kateiva             3.4                 3.4                 
Aras                Urbonas             3.2                 3.2                 
Arijus              Baranauskas         1.4                 1.4                 
Arijus              Jankauskas          4.4                 4.4                 
Arijus              Baranauskas         3.6                 3.6                 
Arimantas           Petrauskas          1.6                 1.6                 
Arimantas           Butkus              2.8                 2.8                 
Arimantas           Sakalauskas         2.8                 2.8                 
Arimantas           Paulauskas          4.4                 4.4                 
Arimantas           Kateiva             4.8                 4.8                 
Aristarchas         Petrauskas          2.2                 2.2                 
Aristarchas         Petrauskas          4.8                 4.8                 
Aristarchas         Jankauskas          3.2                 3.2                 
Aristarchas         Vasiliauskas        1.6                 1.6                 
Aristarchas         Urbonas             3.4                 3.4                 
Aristarchas         Sakalauskas         3.4                 3.4                 
Aristarchas         Baranauskas         2.6                 2.6                 
Aristidas           Baranauskas         2.2                 2.2                 
Aristidas           Jankauskas          4.6                 4.6                 
Aristidas           Petrauskas          4.2                 4.2                 
Aristidas           Vasiliauskas        2.4                 2.4                 
Aristidas           Butkus              4.8                 4.8                 
Arkadijus           Pocius              4                   4                   
Arkadijus           Kazlaukas           2.6                 2.6                 
Arkadijus           Baranauskas         4.4                 4.4                 
Arkadijus           Kazlaukas           4.8                 4.8                 
Armantas            Baranauskas         2.2                 2.2                 
Armantas            Paulauskas          4.4                 4.4                 
Armantas            Paulauskas          4.4                 4.4                 
Armantas            Butkus              1.4                 1.4                 
Armantas            Kateiva             1.4                 1.4                 
Arminas             Urbonas             4.8                 4.8                 
Arminas             Kavaliauskas        4.8                 4.8                 
Arminas             Vasiliauskas        3                   3                   
Arnas               Butkus              2.2                 2.2                 
Arnas               Paulauskas          4.6                 4.6                 
Arnas               Urbonas             4.6                 4.6                 
Arnas               Urbonas             3.8                 3.8                 
Arnas               Sakalauskas         2.8                 2.8                 
Arnoldas            Pocius              4.4                 4.4                 
Arnoldas            Kavaliauskas        3.2                 3.2                 
Arnoldas            Kateiva             2                   2                   
Arnoldas            Stankevicius        3.8                 3.8                 
Arnoldas            zukauskas           3                   3                   
Aronas              Jankauskas          3.6                 3.6                 
Aronas              Vasiliauskas        3                   3                   
Aronas              Baranauskas         2.6                 2.6                 
Arsenas             Jankauskas          1.4                 1.4                 
Arsenas             Butkus              2.6                 2.6                 
Arsenas             Vasiliauskas        3.8                 3.8                 
Arsenas             Baranauskas         3                   3                   
Arsenas             Baranauskas         1.4                 1.4                 
Arsenas             Paulauskas          2.8                 2.8                 
Arsenas             Kateiva             4.2                 4.2                 
Arsenas             Pocius              4.4                 4.4                 
Arsenijus           Kavaliauskas        4                   4                   
Arsenijus           Pocius              4.6                 4.6                 
Arsenijus           Urbonas             2                   2                   
Arsenijus           Baranauskas         2.6                 2.6                 
Arsenijus           Vasiliauskas        3.4                 3.4                 
Arsenijus           Kavaliauskas        3.4                 3.4                 
Artas               Vasiliauskas        3                   3                   
Artas               Petrauskas          4.6                 4.6                 
Artas               Petrauskas          4.2                 4.2                 
Artas               Vasiliauskas        2.8                 2.8                 
Artas               Sakalauskas         3.2                 3.2                 
Artas               Vasiliauskas        4.2                 4.2                 
Artas               Urbonas             4.2                 4.2                 
Artiomas            Kazlaukas           2.2                 2.2                 
Artiomas            Kazlaukas           2.4                 2.4                 
Artiomas            Stankevicius        4                   4                   
Arturas             Baranauskas         1.4                 1.4                 
Arturas             Petrauskas          2.8                 2.8                 
Arturas             Kateiva             3.6                 3.6                 
Arturas             Kazlaukas           3.8                 3.8                 
Arturas             Petrauskas          4.6                 4.6                 
Arunas              Urbonas             3                   3                   
Arunas              Kavaliauskas        1.4                 1.4                 
Arunas              Paulauskas          1.4                 1.4                 
Arunas              Kateiva             2                   2                   
Arunas              Baranauskas         1.6                 1.6                 
Arunas              Kateiva             3.6                 3.6                 
Arunas              Sakalauskas         1.8                 1.8                 
Arvaidas            Urbonas             2.8                 2.8                 
Arvaidas            Butkus              2.8                 2.8                 
Arvaidas            Sakalauskas         3.8                 3.8                 
Arvaidas            zukauskas           2.2                 2.2                 
Arvaidas            zukauskas           2.8                 2.8                 
Arvaidas            Petrauskas          2.2                 2.2                 
Arvaidas            Sakalauskas         3.2                 3.2                 
Arvaidas            Jankauskas          2.2                 2.2                 
Arvaidas            Kateiva             4.6                 4.6                 
Arvydas             Baranauskas         3                   3                   
Arvydas             Petrauskas          1.4                 1.4                 
Arvydas             Vasiliauskas        2.8                 2.8                 
Arvydas             Pocius              4.8                 4.8                 
Astijus             Stankevicius        3.2                 3.2                 
Astijus             Vasiliauskas        4                   4                   
Astijus             Vasiliauskas        2.4                 2.4                 
Astijus             Kazlaukas           4.6                 4.6                 
Astijus             Jankauskas          3.4                 3.4                 
Audrius             Kavaliauskas        4.8                 4.8                 
Audrius             Kavaliauskas        4.4                 4.4                 
Audrius             Kazlaukas           1.4                 1.4                 
Audrius             Jankauskas          4.8                 4.8                 
Audrius             Jankauskas          3.6                 3.6                 
Audronius           Sakalauskas         3                   3                   
Audronius           Urbonas             4.4                 4.4                 
Audronius           Sakalauskas         4                   4                   
Audronius           Vasiliauskas        4.6                 4.6                 
Audronius           Sakalauskas         3.8                 3.8                 
Audrys              Sakalauskas         1                   1                   
Audrys              Paulauskas          3                   3                   
Augis               Urbonas             2.6                 2.6                 
Augis               zukauskas           2.2                 2.2                 
Augis               Vasiliauskas        4                   4                   
Augis               Pocius              3.6                 3.6                 
Augis               Vasiliauskas        1.4                 1.4                 
Augustas            zukauskas           4                   4                   
Augustas            zukauskas           2.2                 2.2                 
Augustas            zukauskas           3.8                 3.8                 
Augustas            Baranauskas         2                   2                   
Augustas            Vasiliauskas        3.8                 3.8                 
Augustinas          Baranauskas         3.8                 3.8                 
Augustinas          Paulauskas          3                   3                   
Augustinas          Jankauskas          4.8                 4.8                 
Augustinas          Vasiliauskas        3.8                 3.8                 
Augustinas          Baranauskas         2.6                 2.6                 
Augustinas          Kateiva             4.6                 4.6                 
Augustinas          zukauskas           4.6                 4.6                 
Augustinas          Butkus              3.2                 3.2                 
Aurelijus           Pocius              1.6                 1.6                 
Aurelijus           Vasiliauskas        2                   2                   
Aurelijus           Kateiva             4.8                 4.8                 
Aurimas             Vasiliauskas        4.2                 4.2                 
Aurimas             Paulauskas          3.8                 3.8                 
Aurimas             Petrauskas          4.2                 4.2                 
Aurimas             Kazlaukas           4                   4                   
Ausrius             Paulauskas          4.4                 4.4                 
Ausrius             Kateiva             4.8                 4.8                 
Ausrius             Kateiva             4.6                 4.6                 
Ausrius             Butkus              4.2                 4.2                 
Ausrius             Jankauskas          3.2                 3.2                 
Ausrius             Baranauskas         3.8                 3.8                 
Ausrius             Kateiva             3                   3                   
Ausrius             Stankevicius        3.8                 3.8                 
Ausrius             Kateiva             3.4                 3.4                 
Ausrys              Urbonas             2.4                 2.4                 
Ausrys              Butkus              4.4                 4.4                 
Ausrys              Jankauskas          2.8                 2.8                 
Baltazaras          Butkus              2                   2                   
Baltazaras          Urbonas             1                   1                   
Baltazaras          Kazlaukas           4.8                 4.8                 
Baltazaras          Sakalauskas         1.4                 1.4                 
Baltazaras          Urbonas             3.2                 3.2                 
Baltramiejus        Petrauskas          2.8                 2.8                 
Baltramiejus        Kavaliauskas        4.8                 4.8                 
Baltramiejus        Kavaliauskas        2.6                 2.6                 
Baltrus             Pocius              4.6                 4.6                 
Baltrus             Sakalauskas         1.6                 1.6                 
Baltrus             Jankauskas          2.8                 2.8                 
Baltrus             zukauskas           4                   4                   
Baltrus             Jankauskas          4.4                 4.4                 
Balys               Stankevicius        3.8                 3.8                 
Balys               zukauskas           3.8                 3.8                 
Balys               Pocius              4                   4                   
Balys               Pocius              3.4                 3.4                 
Balys               Kazlaukas           4                   4                   
Balys               Petrauskas          4                   4                   
Balys               Kateiva             3.4                 3.4                 
Banguolis           zukauskas           4.4                 4.4                 
Banguolis           Baranauskas         4.6                 4.6                 
Banguolis           Kavaliauskas        3.8                 3.8                 
Banguolis           Sakalauskas         1.6                 1.6                 
Bartas              zukauskas           4.6                 4.6                 
Bartas              Vasiliauskas        2.2                 2.2                 
Bartas              Kazlaukas           2.2                 2.2                 
Bartas              Butkus              3.6                 3.6                 
Bartas              Jankauskas          4.2                 4.2                 
Bartas              Paulauskas          2.8                 2.8                 
Bartas              Sakalauskas         1.6                 1.6                 
Bartas              Baranauskas         4.6                 4.6                 
Bartas              Baranauskas         2.6                 2.6                 
Bartvydas           Jankauskas          4.4                 4.4                 
Bartvydas           Sakalauskas         1.4                 1.4                 
Bartvydas           Kavaliauskas        4.6                 4.6                 
Bazilijus           Vasiliauskas        3.2                 3.2                 
Bazilijus           Petrauskas          3.2                 3.2                 
Bazilijus           Jankauskas          3.4                 3.4                 
Bazilijus           Pocius              4                   4                   
Bazilijus           Kavaliauskas        2.8                 2.8                 
Bazilijus           Pocius              3.6                 3.6                 
Benas               Urbonas             3                   3                   
Benas               Butkus              4.2                 4.2                 
Benas               Sakalauskas         2                   2                   
Benas               Baranauskas         4.6                 4.6                 
Benediktas          Stankevicius        3.2                 3.2                 
Benediktas          Sakalauskas         2.8                 2.8                 
Benediktas          Kateiva             1.8                 1.8                 
Benediktas          Kazlaukas           4.2                 4.2                 
Benediktas          Butkus              4.6                 4.6                 
Benius              Petrauskas          4.2                 4.2                 
Benius              Baranauskas         2                   2                   
Benius              Kavaliauskas        3                   3                   
Benius              Kateiva             1.8                 1.8                 
Benjaminas          Kavaliauskas        4.6                 4.6                 
Benjaminas          Paulauskas          2.4                 2.4                 
Benjaminas          Petrauskas          3                   3                   
Benjaminas          Paulauskas          4                   4                   
Benjaminas          Kavaliauskas        4.2                 4.2                 
Benjaminas          Butkus              2.2                 2.2                 
Benjaminas          Paulauskas          3                   3                   
Benjaminas          Kateiva             4                   4                   
Benonas             Stankevicius        4.6                 4.6                 
Benonas             Butkus              1                   1                   
Benonas             Kateiva             4.6                 4.6                 
Benonas             Kateiva             2.8                 2.8                 
Benonas             Paulauskas          4.6                 4.6                 
Benonas             zukauskas           3.2                 3.2                 
Bernardas           Paulauskas          2.8                 2.8                 
Bernardas           Kavaliauskas        3                   3                   
Bernardas           Stankevicius        3.2                 3.2                 
Berzas              Baranauskas         4.6                 4.6                 
Berzas              Kavaliauskas        2                   2                   
Berzas              Baranauskas         2.8                 2.8                 
Berzas              Pocius              4.6                 4.6                 
Berzas              Butkus              3.8                 3.8                 
Berzas              Paulauskas          2                   2                   
Berzas              zukauskas           3.6                 3.6                 
Bijunas             Petrauskas          4                   4                   
Bijunas             Kateiva             3.6                 3.6                 
Bijunas             Sakalauskas         3.4                 3.4                 
Bijunas             Jankauskas          4.4                 4.4                 
Bijunas             Stankevicius        3.2                 3.2                 
Bijunas             Urbonas             3                   3                   
Bogdanas            Sakalauskas         1.4                 1.4                 
Bogdanas            Kateiva             3.4                 3.4                 
Bogdanas            Paulauskas          2.4                 2.4                 
Bogdanas            Stankevicius        4                   4                   
Boguslavas          Stankevicius        3.4                 3.4                 
Boleslavas          Kateiva             4.4                 4.4                 
Boleslavas          Paulauskas          2.8                 2.8                 
Boleslavas          Petrauskas          4.2                 4.2                 
Boleslavas          zukauskas           1.4                 1.4                 
Boleslavas          Stankevicius        3.4                 3.4                 
Boleslavas          zukauskas           3                   3                   
Boleslavas          Kazlaukas           3                   3                   
Boleslavas          Baranauskas         2.8                 2.8                 
Boleslovas          Baranauskas         4.6                 4.6                 
Boleslovas          Stankevicius        3.4                 3.4                 
Boleslovas          Kateiva             1.6                 1.6                 
Boleslovas          Kavaliauskas        1.4                 1.4                 
Boleslovas          Jankauskas          4.6                 4.6                 
Boleslovas          Baranauskas         3.4                 3.4                 
Bonifacas           Jankauskas          2                   2                   
Bonifacas           Pocius              4.6                 4.6                 
Bonifacas           zukauskas           2.2                 2.2                 
Bonifacas           Vasiliauskas        1                   1                   
Borisas             Vasiliauskas        2                   2                   
Borisas             Stankevicius        4.2                 4.2                 
Borisas             Butkus              3.8                 3.8                 
Bronislavas         Baranauskas         4.4                 4.4                 
Bronislavas         Pocius              2.4                 2.4                 
Bronislavas         Baranauskas         4.4                 4.4                 
Bronislavas         Urbonas             3.2                 3.2                 
Bronislavas         Baranauskas         4.6                 4.6                 
Bronislavas         zukauskas           2.6                 2.6                 
Bronislavas         Kazlaukas           3.6                 3.6                 
Bronislovas         Kavaliauskas        3                   3                   
Bronislovas         Sakalauskas         3                   3                   
Bronislovas         Kateiva             4.6                 4.6                 
Bronislovas         Pocius              3.4                 3.4                 
Bronislovas         Petrauskas          4.6                 4.6                 
Bronius             Sakalauskas         3.4                 3.4                 
Brunas              Petrauskas          1.6                 1.6                 
Brunas              Kateiva             3                   3                   
Brunas              Sakalauskas         3                   3                   
